"","c1_humans.v1","c1_humans.v2","c1_nonwh","c1_nonmale","c1_whmale","c1_disab","c1_nonwest","c1_landurban","c1_landcult","c1_natres","c1_ag","c1_restore","c1_recnoext","c1_recext","c1_animalnonext","c1_animalext","c1_logo"
"203",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212",4,0,0,0,0,0,0,0,0,4,0,0,0,0,NA,0,0
"213",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218",4,4,0,0,4,0,0,0,0,4,0,0,0,0,0,4,0
"219",4,4,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0
"220",3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"221",4,4,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0
"222",4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"223",3,3,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0
"224",4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
"225",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"227",4,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"228",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229",3,3,0,3,2,0,0,0,0,3,0,0,0,0,0,2,0
"230",4,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
"231",4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"232",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
